time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2024-08-19,2509.19,2509.98,2485.52,2504.05,173394,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2024-08-20,2503.39,2531.61,2497.21,2513.86,174419,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.3917653401489529,,Neutral
2024-08-21,2513.03,2519.79,2493.33,2512.22,170395,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.06523831876080743,,Neutral
2024-08-22,2511.37,2514.55,2470.72,2484.52,172547,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.10261044016845,-0.779936502865366,Neutral
2024-08-23,2484.95,2518.19,2484.22,2512.28,173586,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.1173184357541999,-0.06285155100124618,Neutral
2024-08-26,2511.25,2526.77,2508.57,2517.82,165441,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.22051682137340656,0.2229104138968866,Neutral
2024-08-27,2518.05,2525.83,2503.37,2524.57,166671,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.2680890611719722,1.6119813887592043,Neutral
2024-08-28,2524.67,2528.92,2493.5,2504.45,160734,27,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.7969674043500574,-0.31166908147182565,Neutral
2024-08-29,2504.17,2528.54,2503.45,2521.01,158580,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.661223023019053,0.12669690446497583,Neutral
2024-08-30,2520.52,2526.78,2494.01,2503.12,163565,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.7096362172304138,-0.8496496433056034,Neutral
2024-09-02,2502.33,2507.14,2489.87,2498.9,99536,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.16858960017896996,-0.22160554213498884,Neutral
2024-09-03,2499.48,2506.11,2473.04,2492.93,170843,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.23890511825204186,-1.1138392945684619,Neutral
2024-09-04,2492.62,2500.11,2471.76,2495.46,154533,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.10148700525085541,-0.30601808942439257,Neutral
2024-09-05,2494.38,2523.36,2493.68,2516.52,162518,29,0,53.721277230677316,,,0,28.9592857142858,1.150767159183547,,,,,,,0,0,,,,,,,0,0,,,0,0,0.8439325815681187,0.7051102485093397,Neutral
2024-09-06,2516.37,2529.04,2484.95,2497.18,187170,29,0,48.16202043983084,,,0,30.361428571428664,1.2158285975151437,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.768521609206374,0.17048212344510277,Neutral
2024-09-09,2496.63,2507.13,2485.41,2506.25,164107,29,0,47.955949503088895,,,0,29.45571428571439,1.175290345564664,,,,,,,0,0,,,,,,,0,0,,,0,0,0.3632097005422219,0.4323852115441627,Neutral
2024-09-10,2506.29,2518.36,2499.97,2516.51,150623,29,0,51.10129896801365,,,0,28.87928571428584,1.1475927262075587,,,,,,,0,0,,,,,,,0,0,,,0,0,0.4093765586034914,-0.0003973741515967897,Neutral
2024-09-11,2516.27,2528.89,2500.79,2511.28,185868,28,0,57.76552524666277,,,0,27.75571428571438,1.1052417207843959,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.2078275071428326,0.5646369104349852,Neutral
2024-09-12,2510.77,2559.95,2510.77,2558.52,175303,28,0,62.05548023777229,,,0,28.84214285714292,1.1272979244697294,,,,,,,0,0,,,,,,,0,0,,,0,0,1.8811124207575247,2.0855860349127173,Neutral
2024-09-13,2558.11,2585.94,2556.49,2578.91,174578,28,0,64.78246140444254,165220.55,1.0566361145753358,0,29.64571428571438,1.1495443534560874,2513.518,2.6016125605625193,,,,,0,0,2556.873703613129,2470.1622963868713,3.449802516881021,,2585.94,2470.72,1,0,,,0,0,0.7969451088910784,2.479624559409644,Neutral
2024-09-16,2578.64,2589.51,2575.04,2582.24,138482,28,0,64.18975444121824,163474.95,0.8471144967470551,0,29.07500000000011,1.1259604064688067,2517.4275,2.574552792483597,,,,,0,0,2570.255009530148,2464.5999904698515,4.19694386671698,,2589.51,2470.72,1,0,,,0,0,0.12912431996463525,2.8256506642030987,Neutral
2024-09-17,2581.92,2586.83,2560.63,2569.33,154146,28,0,66.55102040816323,162461.3,0.9488167335851677,0,28.416428571428664,1.1059859407483144,2520.201,1.9494080035679657,,,,,0,0,2577.8448042135537,2462.5571957864463,4.574540222272249,,2589.51,2470.72,1,0,,,0,0,-0.4999535287192436,0.4225098885293039,Neutral
2024-09-18,2569.26,2600.01,2546.66,2558.98,187915,28,0,60.00316138890345,163337.3,1.1504720599642582,0,30.43500000000011,1.1893410655808216,2522.539,1.4446159207052813,,,,,0,0,2582.563781513884,2462.5142184861165,4.75907659020405,,2600.01,2470.72,1,0,,,0,0,-0.40282875302121157,-0.7728071161847384,Neutral
2024-09-19,2558.5,2594.78,2550.95,2586.64,208114,28,0,70.92603728202045,165115.65,1.2604135343924092,0,31.225000000000136,1.2071645068505914,2527.645,2.3339907305021033,,,,,0,0,2591.3155294134535,2463.9744705865464,5.037932891165773,,2600.01,2471.76,1,0,,,0,0,1.0808994208630018,0.17039469607782745,Neutral
2024-09-20,2586.08,2625.6,2584.7,2622.04,189955,28,0,76.68371327034752,165934.1,1.1447616855125016,0,32.912857142857284,1.25523856016145,2533.1330000000003,3.5097643905787694,,,,,0,0,2608.9835003557037,2457.282499644297,5.988670974299682,,2625.6,2471.76,1,0,,,0,0,1.3685708100083627,2.051507591473265,Neutral
2024-09-23,2621.3,2634.75,2613.68,2628.26,167635,28,0,79.29347590804802,166043.8,1.0095830136385702,0,32.05571428571443,1.2196553722125827,2538.6549999999997,3.5296249391902594,,,,,0,0,2625.1456151282505,2452.164384871749,6.813892799789711,,2634.75,2471.76,1,0,,,0,0,0.23721987460145755,2.707328701279424,Neutral
2024-09-24,2627.48,2664.24,2622.47,2656.98,201037,28,0,81.40213080332842,167762.1,1.198345752705766,0,33.01428571428586,1.2425492745254334,2545.2755,4.3886997694355605,,,,,0,0,2646.2796936544696,2444.271306345531,7.936602042055519,,2664.24,2471.76,1,0,,,0,0,1.0927381613691,2.719357931525073,Neutral
2024-09-25,2657.73,2670.42,2649.65,2656.84,192048,28,0,79.69609751968177,169327.8,1.1341787940314585,0,32.37785714285727,1.2186604064549342,2552.8949999999995,4.071651987253711,,,,,0,0,2663.4701037935183,2442.3198962064807,8.662722422466949,36.084351656194315,2670.42,2471.76,1,0,,,0,0,-0.005269140151598073,1.3272108739759951,Neutral
2024-09-26,2656.47,2685.43,2654.66,2672.18,198285,28,0,87.67329716696815,171313.05,1.1574424715455127,0,31.426428571428687,1.1760595682711752,2560.4535,4.363543411352706,,,,,0,0,2681.9764621403647,2438.9305378596355,9.492299871125534,40.55959316090725,2685.43,2471.76,1,0,,,0,0,0.5773776365908256,1.671067550394543,Neutral
2024-09-27,2671.97,2674.2,2642.98,2657.99,213731,28,0,81.96141208189407,173821.35,1.2296015420430229,0,32.10500000000008,1.2078675992009031,2568.197,3.496343933117267,,,,,0,0,2693.9990138906664,2442.394986109334,9.796913078760417,43.037507524089264,2685.43,2471.76,1,0,,,0,0,-0.5310271014677181,0.038013082522253216,Neutral
2024-09-30,2656.92,2665.89,2624.57,2634.37,199491,28,0,73.50243279891525,178819.1,1.1156023042281278,0,33.74285714285718,1.2808700806210664,2574.9705,2.3068031264824196,,,,,0,0,2699.645557645655,2450.2954423543447,9.683610561414605,45.39218438119832,2685.43,2471.76,1,0,,,0,0,-0.8886414170105938,-0.8457415576399125,Neutral
2024-10-01,2633.94,2672.96,2631.99,2663.29,172057,28,0,77.69558721714105,178879.8,0.9618581863351816,0,34.66214285714292,1.3014783541087496,2583.4885,3.088904789009126,,,,,0,0,2707.84109416167,2459.13590583833,9.626719388274415,48.285283901626386,2685.43,2471.76,1,0,,,0,0,1.0977956779040232,-0.33268716927751396,Neutral
2024-10-02,2662.68,2663.28,2641.0,2658.5,166290,28,0,71.54927148892155,179467.65,0.9265736749770781,0,32.74142857142864,1.2315752706950778,2591.6405,2.579813828345406,,,,,0,0,2713.036374979776,2470.244625020224,9.368265002786936,49.409836864060345,2685.43,2484.95,1,0,,,0,0,-0.17985273853016182,0.019187431103962704,Neutral
2024-10-03,2657.93,2662.78,2637.21,2655.92,180296,28,0,67.97870850259152,180356.55,0.9996642761241552,0,32.46428571428578,1.2223367313129077,2598.6105,2.2053901498512496,,,,,0,0,2717.8340399707545,2479.386960029245,9.17594537317191,49.143339099866346,2685.43,2484.95,1,0,,,0,0,-0.09704720707165437,0.8180323948420375,Neutral
2024-10-04,2656.36,2670.06,2631.92,2653.41,178645,28,0,66.67916569018053,179930.3,0.9928566783915772,0,34.15500000000004,1.287211550420027,2606.422,1.8027779077985004,,,,,0,0,2717.883248890414,2494.960751109586,8.552816764930164,48.30993329733839,2685.43,2485.41,1,0,,,0,0,-0.09450585861020544,-0.3709697404338284,Neutral
2024-10-07,2650.82,2659.44,2637.64,2642.56,171743,28,0,67.32926309811165,180312.1,0.9524762897220985,0,33.84071428571435,1.2806034408192946,2613.2375,1.122075586317729,,,,,0,0,2715.1710719450375,2511.303928054963,7.801324751006161,48.59340603660588,2685.43,2499.97,1,0,,,0,0,-0.40890778281531537,-0.5995862328380687,Neutral
2024-10-08,2642.38,2652.91,2604.63,2621.71,231799,28,0,64.14175571486545,184370.9,1.257242872926259,0,33.47857142857145,1.2769746245225997,2618.4975,0.12268486030634328,,,,,0,0,2709.7079266604396,2527.2870733395603,6.966623161598565,47.85854212194638,2685.43,2500.79,0,0,,,0,0,-0.7890076289658432,-1.2880659055995676,Neutral
2024-10-09,2621.25,2624.2,2605.05,2607.62,184533,27,0,55.03794063970802,184304.15,1.0012416974875498,0,31.715714285714252,1.2162705565118481,2623.3145,-0.5982698605142487,,,,,0,0,2699.6455409301107,2546.9834590698892,5.819434988074111,46.65125045600608,2685.43,2510.77,0,0,,,0,0,-0.5374354905767653,-1.7257039055404166,Neutral
2024-10-10,2606.97,2631.39,2601.56,2629.96,195347,27,0,52.02910432465671,185306.35,1.0541840579127482,0,30.924999999999955,1.1758733973140258,2626.8865,0.11700162911492244,,,,,0,0,2696.8732413834528,2556.8997586165474,5.328493742188913,43.51465977606062,2685.43,2546.66,0,0,,,0,0,0.8567199208473708,-0.4768103657059787,Neutral
2024-10-11,2629.72,2661.3,2627.94,2656.82,162368,27,0,56.61723818350324,184695.85,0.8791101695029964,0,31.802857142857096,1.197027165666364,2630.782,0.9897437339924027,,,,,0,0,2698.1489531978295,2563.4150468021708,5.12143941974891,40.13841108370621,2685.43,2546.66,1,0,,,0,0,1.0213083088716157,1.3392022763768734,Neutral
2024-10-14,2655.64,2666.69,2643.02,2648.46,154746,27,0,47.820302906262796,185509.05,0.834169545906251,0,30.50999999999996,1.1519902131804882,2634.093,0.5454249337438044,,,,,0,0,2697.8258087367435,2570.360191263256,4.839070506374958,35.39962433812678,2685.43,2546.66,1,0,,,0,0,-0.31466188902522507,1.5661791211909768,Neutral
2024-10-15,2647.16,2668.79,2637.98,2662.57,204136,27,0,51.36812950670933,188008.55,1.08578040732722,0,31.227142857142812,1.1728196012552838,2638.755,0.9025089483487498,,,,,0,0,2695.8346217669086,2581.6753782330916,4.326253992273518,31.046391608629545,2685.43,2546.66,1,0,,,0,0,0.5327624355285776,1.2399428128184506,Neutral
2024-10-16,2662.52,2685.31,2658.59,2673.59,193466,27,0,50.34375152372137,188286.1,1.0275107934149148,0,30.937857142857087,1.1571653523112027,2644.4855,1.1005732495035565,,,,,0,0,2689.6018391922044,2599.369160807795,3.4121071332933823,26.032974578338315,2685.43,2550.95,1,0,,,0,0,0.41388583210957286,0.6312057271474913,Neutral
2024-10-17,2673.29,2696.61,2672.98,2692.74,208599,27,0,58.27184003808616,188310.35,1.1077404932867472,0,30.395714285714252,1.128802420052224,2649.7905,1.6208639890587468,,,,,0,0,2691.0549454961665,2608.5260545038336,3.1145439985664107,22.232240964875814,2696.61,2584.7,1,0,,,0,0,0.7162653959657206,1.6719149996601703,Neutral
2024-10-18,2692.41,2722.37,2692.08,2721.34,208330,27,0,70.22275961493744,189229.1,1.1009406058581899,0,29.607857142857124,1.0879881654940993,2654.7555,2.5081217460515637,,,,,0,0,2704.901182282524,2604.6098177174763,3.777800425125698,21.377595819329304,2722.37,2601.56,1,0,,,0,0,1.062115168935751,2.207265912257705,Neutral
2024-10-21,2720.29,2740.44,2714.06,2719.39,227643,27,0,64.91545251515464,192229.5,1.1842251059280704,0,28.565714285714257,1.0504456619210285,2659.3120000000004,2.259155751562792,,,,,0,0,2715.5159015690183,2603.1080984309824,4.226950547285759,20.856778526401428,2740.44,2601.56,1,0,,,0,0,-0.07165587541432261,1.7130524874793713,Neutral
2024-10-22,2719.87,2748.9,2718.58,2748.89,198494,27,0,71.24124641631798,192102.35,1.033272107290723,0,29.139285714285702,1.0600382595988092,2663.9075000000003,3.190144552691849,,,,,0,0,2732.8866434153597,2594.928356584641,5.1787941897651795,21.0954145626329,2748.9,2601.56,1,0,,,0,0,1.084802106354732,2.085236599151797,Neutral
2024-10-23,2748.47,2758.35,2708.62,2715.23,223832,27,0,62.16116465039978,193691.55,1.1556105570945145,0,30.864999999999977,1.136736114435977,2666.827,1.815003372922195,,,,,0,0,2739.3958934664734,2594.258106533527,5.442339789305652,22.03525675512613,2758.35,2601.56,1,0,,,0,0,-1.224494250406527,-0.22452174296486754,Neutral
2024-10-24,2714.34,2743.12,2714.26,2735.79,206883,27,0,65.72737686139747,194121.45,1.0657400302748614,0,30.20214285714282,1.1039642244888248,2670.0075,2.463757124277733,,,,,0,0,2748.8672550285246,2591.1477449714757,5.907081162021037,23.268060725764478,2758.35,2601.56,1,0,,,0,0,0.7572102547482196,0.6030764252277199,Neutral
2024-10-25,2735.67,2747.59,2716.92,2746.84,187139,27,0,69.89317054559326,192791.85,0.9706789991381897,0,30.83571428571424,1.1225886577199342,2674.45,2.706724747144285,2599.0168,5.687658502245937,,,0,0,2760.171318603711,2588.7286813962887,6.410388573629053,23.82946404050706,2758.35,2601.56,1,0,,,0,0,0.40390527050688796,-0.07457555595166512,Neutral
