time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2021-10-19 16:00:00,414.41,414.86,408.79,411.34,3230,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2021-10-19 20:00:00,411.54,413.55,409.78,411.35,2247,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.002431078912823459,,Neutral
2021-10-20 16:00:00,409.7,413.77,408.01,410.25,2817,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.2674121794092654,,Neutral
2021-10-20 20:00:00,410.01,410.2,405.61,407.31,2692,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.7166361974405899,-0.979724801867062,Neutral
2021-10-21 16:00:00,408.59,412.02,405.21,405.5,3036,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.44437897424566275,-1.4221465904947181,Neutral
2021-10-21 20:00:00,405.5,407.37,404.02,406.78,2415,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.3156596794081423,-0.8458257160268197,Neutral
2021-10-22 16:00:00,411.02,414.76,409.51,411.98,3308,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.278332268056448,1.1465468562028962,Neutral
2021-10-22 20:00:00,411.98,414.32,411.82,413.68,2825,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.4126413903587478,2.017262638717634,Neutral
2021-10-25 16:00:00,416.78,418.63,413.51,413.53,2540,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.03625991104235782,1.6593736171886524,Neutral
2021-10-25 20:00:00,413.53,414.89,412.6,414.27,2141,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.17894711387322904,0.5558522258361968,Neutral
2021-10-26 16:00:00,413.51,419.2,413.01,415.99,2847,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.41518816230960987,0.5584026300522148,Neutral
2021-10-26 20:00:00,415.88,418.7,415.79,417.07,2544,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.2596216255198458,0.8560443015017097,Neutral
2021-10-27 16:00:00,412.73,417.51,411.05,412.15,3278,100,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.17965809096795,-0.511743548893235,Neutral
2021-10-27 20:00:00,412.0,413.34,409.91,410.44,2733,100,0,48.152709359605964,,,0,4.80571428571428,1.170868893313098,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.4148974887783541,-1.3341666866992021,Neutral
2021-10-28 16:00:00,411.25,411.97,408.09,410.55,2334,101,0,48.38577850429105,,,0,4.649285714285712,1.1324529811924766,,,,,,,0,0,,,,,,,0,0,,,0,0,0.02680050677321688,-1.5632867384371882,Neutral
2021-10-28 20:00:00,410.55,414.4,410.55,414.08,2036,100,0,54.876741693461874,,,0,4.654999999999993,1.12417890262751,,,,,,,0,0,,,,,,,0,0,,,0,0,0.8598221897454517,0.4682761130656331,Neutral
2021-10-29 16:00:00,414.49,415.16,410.51,413.16,2422,100,0,55.231930960086345,,,0,4.575714285714282,1.1074920819329754,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.2221792890262697,0.6627034402105125,Neutral
2021-10-29 20:00:00,413.27,413.82,410.69,412.86,2398,100,0,61.02502979737785,,,0,4.46785714285714,1.0821724417132055,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.0726110949753167,0.5626598465473152,Neutral
2021-11-01 12:00:00,417.22,417.73,413.59,414.55,429,102,0,68.06387225548903,,,0,4.329285714285711,1.0443337870668703,,,,,,,0,0,,,,,,,0,0,,,0,0,0.4093397277527444,0.11350463678516888,Neutral
