time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2024-08-02,9.32,9.33,8.52,8.67,1226,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2024-08-05,7.89,8.38,7.83,8.31,1201,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-4.152249134948094,,Neutral
2024-08-06,8.22,8.61,8.21,8.49,1233,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,2.166064981949445,,Neutral
2024-08-07,8.56,8.56,8.0,8.03,925,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-5.418138987043585,-7.381776239907735,Neutral
2024-08-08,8.13,8.45,8.05,8.34,857,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,3.860523038605246,0.36101083032490205,Neutral
2024-08-09,8.4,8.51,8.3,8.39,669,17,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.599520383693064,-1.177856301531209,Neutral
2024-08-12,8.56,8.8,8.46,8.79,1078,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,4.767580452920117,9.464508094645078,Neutral
2024-08-13,8.84,8.93,8.78,8.87,708,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.9101251422070522,6.354916067146275,Neutral
2024-08-14,8.76,8.89,8.72,8.87,837,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.0,5.721096543504156,Neutral
2024-08-15,8.86,8.87,8.63,8.79,824,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.9019165727170209,0.0,Neutral
2024-08-16,8.91,9.06,8.83,9.05,758,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,2.9579067121729308,2.0293122886133204,Neutral
2024-08-19,9.04,9.26,8.99,9.24,713,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,2.099447513812147,4.171364148816246,Neutral
2024-08-20,9.34,9.44,9.23,9.27,909,24,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.32467532467532756,5.460750853242327,Neutral
2024-08-21,9.19,9.21,9.0,9.19,1027,24,0,60.48387096774192,,,0,0.37357142857142833,4.064977459972017,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.8629989212513456,1.5469613259668373,Neutral
2024-08-22,8.94,8.99,8.81,8.91,773,24,0,54.34782608695652,,,0,0.3428571428571425,3.848003848003844,,,,,,,0,0,,,,,,,0,0,,,0,0,-3.0467899891186034,-3.571428571428572,Neutral
