time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2021-10-20 16:00:00,6.09,6.27,6.07,6.27,259,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2021-10-20 20:00:00,6.27,6.27,6.19,6.22,199,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.797448165869219,,Neutral
2021-10-21 16:00:00,6.16,6.25,6.16,6.22,271,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.0,,Neutral
2021-10-21 20:00:00,6.22,6.24,6.2,6.23,178,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.1607717041800738,-0.6379585326953613,Neutral
2021-10-22 16:00:00,6.38,6.49,6.23,6.32,407,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.4446227929374,1.6077170418006517,Neutral
2021-10-22 20:00:00,6.32,6.33,6.27,6.27,214,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.7911392405063444,0.8038585209003187,Neutral
2021-10-25 16:00:00,6.37,6.45,6.37,6.43,372,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,2.551834130781505,3.21027287319421,Neutral
2021-10-25 20:00:00,6.43,6.45,6.39,6.4,233,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.4665629860031051,1.2658227848101276,Neutral
2021-10-26 16:00:00,6.32,6.39,6.3,6.34,367,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.9375000000000022,1.1164274322169105,Neutral
2021-10-26 20:00:00,6.34,6.39,6.33,6.38,188,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.6309148264984188,-0.7776049766718479,Neutral
2021-10-27 16:00:00,6.39,6.43,6.35,6.38,434,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.0,-0.3125000000000072,Neutral
2021-10-27 20:00:00,6.38,6.4,6.35,6.35,207,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.4702194357366851,0.1577287066246023,Neutral
2021-10-28 16:00:00,6.38,6.4,6.27,6.27,406,11,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.2598425196850394,-1.724137931034488,Neutral
2021-10-28 20:00:00,6.27,6.28,6.21,6.21,211,11,0,45.45454545454549,,,0,0.10428571428571441,1.6793190706234207,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.9569377990430561,-2.664576802507836,Neutral
2021-10-29 16:00:00,6.02,6.1,5.97,6.01,388,11,0,34.883720930232585,,,0,0.10714285714285733,1.7827430473021186,,,,,,,0,0,,,,,,,0,0,,,0,0,-3.2206119162640934,-5.354330708661415,Neutral
2021-10-29 20:00:00,6.01,6.01,5.96,5.96,207,11,0,34.883720930232585,,,0,0.10500000000000023,1.761744966442957,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.8319467554076532,-4.944178628389149,Neutral
2021-11-01 12:00:00,5.91,5.99,5.91,5.97,123,11,0,35.632183908046,,,0,0.10428571428571454,1.7468293850203442,,,,,,,0,0,,,,,,,0,0,,,0,0,0.1677852348993314,-3.8647342995169116,Neutral
2021-11-01 16:00:00,5.97,5.99,5.91,5.93,357,11,0,33.3333333333333,,,0,0.1071428571428574,1.806793543724408,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.670016750418756,-1.3311148086522475,Neutral
2021-11-01 20:00:00,5.93,5.9399999999999995,5.92,5.92,117,11,0,25.60975609756096,,,0,0.09000000000000023,1.5202702702702742,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.1686340640809414,-0.671140939597316,Neutral
2021-11-02 12:00:00,5.83,5.86,5.82,5.85,108,11,0,25.000000000000014,262.3,0.41174227983225314,0,0.09285714285714304,1.5873015873015908,6.1964999999999995,-5.591866376180099,,,,,0,0,6.566664970335062,5.8263350296649365,11.947550079401692,,6.49,5.82,0,1,,,0,0,-1.1824324324324342,-2.010050251256283,Neutral
2021-11-02 16:00:00,5.84,5.85,5.8,5.83,269,11,0,7.142857142857125,262.8,1.0235920852359208,0,0.0835714285714287,1.4334721881891714,6.1745,-5.579399141630901,,,,,0,0,6.577147815290105,5.771852184709895,13.042280841852936,,6.49,5.8,0,1,,,0,0,-0.34188034188032956,-1.6863406408094375,Neutral
2021-11-02 20:00:00,5.83,5.91,5.82,5.91,125,11,0,17.333333333333314,259.1,0.4824392126592049,0,0.08571428571428578,1.4503263234227712,6.159000000000001,-4.042864101315157,,,,,0,0,6.57781537195938,5.7401846280406215,13.600109496976106,,6.49,5.8,0,1,,,0,0,1.3722126929674117,-0.16891891891891533,Neutral
2021-11-03 12:00:00,5.86,5.88,5.8,5.8,47,11,0,16.249999999999986,247.9,0.18959257765227913,0,0.0864285714285715,1.4901477832512326,6.138,-5.506679700228088,,,,,0,0,6.5851006009484,5.6908993990516,14.568282859185407,,6.49,5.8,0,1,,,0,0,-1.861252115059231,-0.8547008547008517,Neutral
