win_rate,avg_win,avg_loss,profit_factor,expectancy,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,strategy,symbol,timeframe,total_trades
100.0,12.71,0.0,12708.17,12.708,0.0,0.0,0.0,0.0,12.71,Top Gainers + Volume,BarrickGold,D1,1
100.0,7.23,0.0,7231.9,7.232,0.0,0.0,0.0,0.0,7.23,New High Continuation,BarrickGold,D1,1
56.25,7.81,-5.6,1.79,1.943,4.48,22.52,-19.45,1.6,31.09,Channel Breakout,BarrickGold,D1,16
83.33,10.29,-5.04,10.2,7.732,20.38,0.0,-5.04,9.2,46.39,ADX Trend Following,BarrickGold,D1,6
83.33,7.56,-5.64,6.7,5.359,16.68,0.0,-5.64,5.7,32.15,Adrenaline + SMC,BarrickGold,D1,6
50.0,3.12,-2.16,1.45,0.483,2.77,15.41,-11.26,1.98,22.24,Top Gainers + Volume,BarrickGold,H1,46
47.5,2.75,-1.72,1.44,0.402,2.77,17.44,-13.2,6.09,80.42,New High Continuation,BarrickGold,H1,200
44.44,2.76,-1.73,1.28,0.265,1.82,11.47,-25.77,0.92,23.81,RSI Oversold Bounce,BarrickGold,H1,90
52.08,2.82,-1.76,1.74,0.623,4.18,20.05,-7.48,4.0,29.92,Bollinger Mean Reversion,BarrickGold,H1,48
40.0,2.82,-1.86,1.01,0.013,0.09,0.64,-17.69,0.02,0.33,SMA Golden Cross,BarrickGold,H1,25
45.19,2.74,-1.78,1.27,0.264,1.79,9.02,-28.78,3.71,106.74,Channel Breakout,BarrickGold,H1,405
46.15,2.78,-1.85,1.29,0.286,1.91,9.9,-29.33,1.9,55.82,ADX Trend Following,BarrickGold,H1,195
46.06,2.78,-1.83,1.3,0.293,1.95,10.11,-20.5,3.63,74.36,Adrenaline + SMC,BarrickGold,H1,254
55.56,6.57,-4.05,2.03,1.85,5.24,28.4,-13.71,2.43,33.29,Top Gainers + Volume,BarrickGold,H4,18
50.0,5.07,-2.95,1.72,1.059,4.13,35.14,-25.21,1.01,25.41,New High Continuation,BarrickGold,H4,24
45.45,6.1,-3.78,1.34,0.708,2.21,14.62,-26.47,0.59,15.57,RSI Oversold Bounce,BarrickGold,H4,22
55.56,6.15,-4.23,1.82,1.539,4.57,42.75,-9.21,1.5,13.85,Bollinger Mean Reversion,BarrickGold,H4,9
80.0,5.49,-2.95,7.46,3.807,17.15,0.0,-2.95,6.46,19.03,SMA Golden Cross,BarrickGold,H4,5
52.27,5.45,-3.48,1.72,1.19,4.11,19.18,-29.1,3.6,104.73,Channel Breakout,BarrickGold,H4,88
40.43,5.89,-3.66,1.09,0.201,0.65,2.87,-41.98,0.23,9.46,ADX Trend Following,BarrickGold,H4,47
48.0,5.29,-3.55,1.38,0.697,2.43,12.34,-17.72,1.97,34.86,Adrenaline + SMC,BarrickGold,H4,50
27.78,1.96,-1.22,0.62,-0.34,-3.54,-10.4,-18.82,-0.65,-12.25,Top Gainers + Volume,BarrickGold,M15,36
41.05,1.18,-0.81,1.01,0.003,0.05,0.17,-31.83,0.11,3.64,New High Continuation,BarrickGold,M15,1128
44.19,1.23,-0.84,1.16,0.076,1.1,3.67,-13.35,2.01,26.81,RSI Oversold Bounce,BarrickGold,M15,353
42.73,1.24,-0.77,1.2,0.089,1.34,5.36,-8.53,2.36,20.14,Bollinger Mean Reversion,BarrickGold,M15,227
43.16,1.37,-0.94,1.11,0.059,0.73,2.2,-12.49,0.45,5.57,SMA Golden Cross,BarrickGold,M15,95
42.36,1.31,-0.87,1.1,0.049,0.67,2.6,-54.28,1.74,94.37,Channel Breakout,BarrickGold,M15,1943
39.54,1.33,-0.9,0.97,-0.018,-0.24,-0.89,-57.12,-0.24,-13.85,ADX Trend Following,BarrickGold,M15,779
41.62,1.25,-0.86,1.03,0.014,0.2,0.68,-21.84,0.55,11.98,Adrenaline + SMC,BarrickGold,M15,865
0.0,0.0,-5.59,0.0,-5.588,0.0,0.0,0.0,0.0,-5.59,New High Continuation,GoldenOcean,D1,1
