symbol,path,currency_base,currency_profit,digits,spread,calc_mode,trade_mode,start_time,expiration_time,min_lot,max_lot,step_lot,pips_stops_level,contract_size,margin_initial,margin_maintenance,swap_long,swap_short,swap_mode,point,tick_value,tick_size
CHFSGD,Forex\Standard\Exotics\CHFSGD,CHF,SGD,5,306,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-26.94,-13.14,1,1e-05,0.7766688672284572,1e-05
EURDKK,Forex\Standard\Exotics\EURDKK,EUR,DKK,5,437,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-48.98,-67.28,1,1e-05,0.15708081022281914,1e-05
EURHKD,Forex\Standard\Exotics\EURHKD,EUR,HKD,5,584,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-87.76,-53.46,1,1e-05,0.12843730333037928,1e-05
EURHUF,Forex\Standard\Exotics\EURHUF,EUR,HUF,3,540,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-84.78,5.62,1,0.001,0.3049301100187837,0.001
EURNOK,Forex\Standard\Exotics\EURNOK,EUR,NOK,5,1600,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-143.06,-42.56,1,1e-05,0.09907071667756447,1e-05
EURPLN,Forex\Standard\Exotics\EURPLN,EUR,PLN,5,824,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-57.2,-13.1,1,1e-05,0.2779646317802523,1e-05
EURSEK,Forex\Standard\Exotics\EURSEK,EUR,SEK,5,1255,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-78.76,-92.36,1,1e-05,0.10834306615210934,1e-05
EURSGD,Forex\Standard\Exotics\EURSGD,EUR,SGD,5,192,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-14.81,-20.01,1,1e-05,0.7766688672284572,1e-05
EURTRY,Forex\Standard\Exotics\EURTRY,EUR,TRY,5,11903,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-7171.79,1677.61,1,1e-05,0.02326145079807712,1e-05
EURZAR,Forex\Standard\Exotics\EURZAR,EUR,ZAR,5,2753,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-416.65,19.85,1,1e-05,0.06032782138138646,1e-05
GBPDKK,Forex\Standard\Exotics\GBPDKK,GBP,DKK,5,1165,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-15.4,-118.3,1,1e-05,0.15708081022281914,1e-05
GBPNOK,Forex\Standard\Exotics\GBPNOK,GBP,NOK,5,1818,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-96.87,-111.17,1,1e-05,0.09907071667756447,1e-05
GBPSEK,Forex\Standard\Exotics\GBPSEK,GBP,SEK,5,1287,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-27.93,-164.03,1,1e-05,0.10834306615210934,1e-05
GBPSGD,Forex\Standard\Exotics\GBPSGD,GBP,SGD,5,344,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-8.63,-30.93,1,1e-05,0.7766688672284572,1e-05
NZDSGD,Forex\Standard\Exotics\NZDSGD,NZD,SGD,5,348,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-7.61,-11.01,1,1e-05,0.7766688672284572,1e-05
SGDJPY,Forex\Standard\Exotics\SGDJPY,SGD,JPY,3,233,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-8.86,-8.92,1,0.001,0.6375924509053813,0.001
USDCNH,Forex\Standard\Exotics\USDCNH,USD,CNH,4,41,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,0.22,-13.18,1,0.0001,1.4325416153339252,0.0001
USDDKK,Forex\Standard\Exotics\USDDKK,USD,DKK,5,410,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-11.97,-87.47,1,1e-05,0.15708081022281914,1e-05
USDHKD,Forex\Standard\Exotics\USDHKD,USD,HKD,4,42,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-3.84,-8.08,1,0.0001,1.2843730333037928,0.0001
USDHUF,Forex\Standard\Exotics\USDHUF,USD,HUF,3,690,0,4,0,0,0.01,50.0,0.01,0,100000.0,0.0,0.0,-56.97,-10.27,1,0.001,0.3049301100187837,0.001
