strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Doji Reversal,M15,-0.9262253351503655,-65.84016813414615,938,41.47121535181237,88.59986768290167,0.03720969925141888,False,
Doji Reversal,H1,-1.6712004923641297,-47.760249173672,280,37.5,60.982007624380486,0.03988354272966545,False,
Doji Reversal,H4,-1.7413945811403384,-15.280182994385576,78,38.46153846153847,27.805889493032865,0.16938276529547208,False,
Doji Reversal,D1,-5.7810193505428185,-4.004447507090754,6,33.33333333333333,6.079111343997119,0.2262455643095927,False,
Double Top/Bottom,M15,-1.0338705308323768,-93.61448729927116,1372,45.99125364431487,93.814598592939,0.00800922490193722,False,
Double Top/Bottom,H1,-1.7788399489651625,-70.8037942578902,518,42.857142857142854,77.90254969863172,0.005562844404910725,False,
Double Top/Bottom,H4,-1.671329702500449,-37.806066983611764,135,45.18518518518518,52.66839292167907,0.11254036110623615,False,
Double Top/Bottom,D1,0.34173769923852865,1.0873235783893325,21,47.61904761904761,11.798899848885794,0.46213069073432295,False,
Engulfing Pattern,M15,-0.1585053756102494,-23.85461767842553,1573,39.86013986013986,103.56378238927904,0.34612147564054163,False,
Engulfing Pattern,H1,0.6074384204412058,51.299791153800356,475,40.8421052631579,54.781804199563275,0.2026071862186712,False,
Engulfing Pattern,H4,-2.007575007569847,-31.258012336170133,131,32.82442748091603,43.12647087633773,0.07586390190249945,False,
Engulfing Pattern,D1,-0.06948884176060756,-0.21211978149223795,20,40.0,10.909658058737733,0.49248788618866246,False,
Flag/Pennant,M15,500.18112378684157,6.1664022795486195,2,100.0,0.0,1.0,False,
Flag/Pennant,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Flag/Pennant,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Flag/Pennant,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Hammer/Shooting Star,M15,-1.8626852944922119,-37.90245840520042,166,36.144578313253014,43.295895931475556,0.06683122489711374,False,
Hammer/Shooting Star,H1,2.648286086152146,17.8736321942993,39,46.15384615384615,10.451674227300792,0.15513486236854523,False,
Hammer/Shooting Star,H4,3.8279487417901916,2.5290823625550365,5,40.0,1.9807467654279025,0.3274062476890127,False,
