strategy,timeframe,sharpe_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,p_value
BB Squeeze Breakout,H4,10.159936487440614,0.5454545454545454,11,21.002633606223974,3.6041243716154714,4.2055913233069795,0.035259322221709744
H4 Trend + M15 Entry,H4,8.69581514408377,0.6428571428571429,14,24.636807348933015,6.66859354442473,3.1328684434793606,0.03494332053446607
High/Low Breakout 20,H4,7.643094535098806,0.5294117647058824,17,26.7829811144421,5.223045937123734,2.8858905968521498,0.03603941017796343
High/Low Breakout 50,H4,7.13032461871945,0.5,20,28.653202272304974,4.453579883645798,2.6959491040970245,0.032547172539524404
Triple EMA 8/21/55,H4,5.924146574199883,0.5384615384615384,26,25.785378913923612,4.788692851183514,2.7916167943317145,0.03691323471272986
High/Low Breakout 50,H1,3.368687361765766,0.4225352112676056,71,55.13196418969927,10.016828613785401,1.618420503511259,0.04008482017341318
High/Low Breakout 30,H1,2.853347654489428,0.3977272727272727,88,58.934963992431,13.95453316463245,1.5020903331955873,0.04861118618382724
Volume Breakout,M5,1.3496785291820492,0.3575418994413408,537,313.20534953230185,126.46143158575065,1.2289977597691304,0.02476870489550483
Parabolic SAR,M15,-0.7503089121433005,0.32157394843962006,1474,-54.77297975406004,62.35159344563248,0.8711283786514248,0.034939293214380315
DMI,M5,-1.1626517868375559,0.3166023166023166,777,-76.37846049409191,88.7644674049973,0.8430437774050586,0.020832479350104495
BB Reversal,M15,-1.2034865495342224,0.3904382470119522,502,-50.510748486768534,60.25522651152423,0.8341368810933639,0.04516701209653789
Rate of Change,M5,-1.2177284670886528,0.31282722513089006,764,-71.22965500750085,89.1097917066651,0.8285726139027116,0.017210298366853637
MACD Signal Cross,M5,-1.3159707139837045,0.30632911392405066,790,-80.52234064863339,89.3891351161963,0.8185191159478815,0.01006750931351033
EMA Cross 9/21,M5,-1.4757141108424048,0.31516936671575846,679,-70.98292216765346,76.97212843557921,0.8111135038061354,0.00787905308097995
Stochastic Momentum,M15,-1.4859247246357685,0.2934472934472934,351,-69.46590146299167,94.20715903825693,0.7861108047104785,0.040395524303918774
Stochastic Reversal,M15,-1.7935515671280424,0.36681222707423583,458,-71.8780429616009,73.20472383894929,0.7691067451992112,0.008056785141462552
BB Reversal,M30,-1.9255062635962017,0.3667953667953668,259,-46.50969012402405,68.57425032921135,0.7506205096718307,0.026231998059301324
Asian Range,H1,-2.2923063535424295,0.27071823204419887,181,-35.02669719584638,45.53006100101421,0.6480235971382113,0.02713375091777715
EMA Cross 21/50,M15,-2.7500355049895955,0.25517241379310346,145,-55.88668400318707,67.40118657934268,0.6560774306645855,0.019703442803368918
Liquidity Grab,M30,-2.9021178629197055,0.2894736842105263,152,-51.929826837490644,61.2644209758222,0.6606820923363319,0.013061781943962769
