symbol,signals,wins,losses,win_rate,net_pips,expectancy
SA40Cash,102,43,59,42.15686274509804,167197357.142858,1639189.7759103726
COCOA-MAR26,84,39,45,46.42857142857143,44570000.00000001,530595.2380952382
GerMid50Cash,93,37,56,39.784946236559136,30255500.000000052,325327.9569892479
SWI20-MAR26,77,33,44,42.857142857142854,10519285.71428572,136614.10018552883
IT40Cash,99,34,65,34.34343434343434,11982857.142857138,121038.96103896099
SWI20Cash,75,31,44,41.333333333333336,7725685.714285665,103009.1428571422
GER40-MAR26,102,38,64,37.254901960784316,9926642.857142825,97320.02801120417
US500Cash,112,45,67,40.17857142857143,8672385.714285705,77432.01530612237
US500-MAR26,116,47,69,40.51724137931034,8526028.571428582,73500.24630541881
JP225Cash,89,34,55,38.20224719101123,6231428.571428575,70016.05136436601
Givaudan,106,45,61,42.45283018867924,6214400.0,58626.41509433962
Mercadolibre,84,32,52,38.095238095238095,4831985.714285694,57523.639455782075
PALL-MAR26,96,35,61,36.45833333333333,5220642.857142854,54381.69642857139
PLAT-APR26,93,40,53,43.01075268817204,5005171.4285714235,53819.04761904757
XPDUSD,97,34,63,35.051546391752574,3590342.857142857,37013.84388807069
UK100-MAR26,102,40,62,39.21568627450981,3728000.0000000573,36549.0196078437
EliLilly,96,42,54,43.75,3415028.5714285644,35573.21428571421
Spotify,96,40,56,41.66666666666667,3010885.7142857034,31363.392857142742
Rheinmetall,100,38,62,38.0,3039485.7142857136,30394.857142857138
XPTUSD,99,40,59,40.4040404040404,2924242.8571428666,29537.806637806734
Blackrock,103,41,62,39.80582524271845,2975885.7142857374,28892.09431345376
Autozone,94,37,57,39.361702127659576,2393028.5714285453,25457.75075987814
McKesson,86,39,47,45.348837209302324,1799357.1428571448,20922.75747508308
LATAM_INDX,100,39,61,39.0,2061799.9999999937,20617.999999999938
Cummins,106,46,60,43.39622641509434,2155557.1428571455,20335.444743935335
Anthem,92,42,50,45.65217391304348,1848399.9999999981,20091.304347826066
Lonza,85,39,46,45.88235294117647,1640042.8571428598,19294.621848739527
HubSpot,90,37,53,41.11111111111111,1733300.000000004,19258.888888888934
Amgen,83,42,41,50.602409638554214,1570285.7142857118,18919.104991394117
ASM,104,43,61,41.34615384615385,1692357.1428571446,16272.664835164851
Humana,92,38,54,41.30434782608695,1432299.9999999988,15568.478260869553
