phase,strategy,timeframe,sharpe,trades,win_rate,return_pct,max_dd,p_value
Phase1_Batch1A,Hammer/Shooting Star,H1,2.648286086152146,39,0.46153846153846156,17.8736321942993,10.451674227300792,0.15513486236854523
Phase1_Batch1A,Engulfing Pattern,H1,0.6355326257313745,474,0.4092827004219409,53.57553662761797,54.781804199563275,0.19218004349528217
Phase1_Batch1A,Doji Reversal,H1,-1.6873222768424154,280,0.375,-48.20177226630958,60.982007624380486,0.038459738404118385
Phase1_Batch1A,Morning/Evening Star,H1,-0.778708373517564,23,0.34782608695652173,-2.575858591939268,12.524771605733367,0.410076307367623
Phase1_Batch1A,Three Soldiers/Crows,H1,-0.10736111942775808,509,0.40471512770137524,-10.451064375006444,54.07306925483078,0.4394530292891721
Phase1_Batch1A,Hammer/Shooting Star,H4,4.311227451063496,4,0.5,2.5290823625550365,1.9807467654279025,0.3350797215567727
Phase1_Batch1A,Engulfing Pattern,H4,-2.0154056360664394,130,0.33076923076923076,-31.258012336170133,43.12647087633773,0.07586672198090008
Phase1_Batch1A,Doji Reversal,H4,-1.7532079360874921,78,0.3717948717948718,-15.382409958958688,27.82714651780232,0.16775928002107815
Phase1_Batch1A,Morning/Evening Star,H4,5.366236544799648,5,0.6,4.2109380600335315,2.2455717663855648,0.2680312426771303
Phase1_Batch1A,Three Soldiers/Crows,H4,1.8625364772768993,164,0.4695121951219512,63.11855754697968,39.13064959327883,0.06803969858709596
Phase1_Batch1A,Hammer/Shooting Star,D1,0.0,1,0.0,-2.5469339693849724,2.5469339693849724,1.0
Phase1_Batch1A,Engulfing Pattern,D1,-0.045669770698827654,20,0.4,-0.1392799301924242,10.909658058737733,0.49506267547507576
Phase1_Batch1A,Doji Reversal,D1,-5.7810193505428185,6,0.3333333333333333,-4.004447507090754,6.079111343997119,0.2262455643095927
Phase1_Batch1A,Morning/Evening Star,D1,0.0,1,1.0,3.9883590971768537,0.0,1.0
Phase1_Batch1A,Three Soldiers/Crows,D1,1.7739159698137938,25,0.48,7.232006847529555,8.104102239949244,0.2945650581328978
