strategy,tf,sharpe,trades,win_rate,p_value
Hammer/Shooting Star,H1,2.648286086152146,39,0.46153846153846156,0.15513486236854523
Engulfing Pattern,H1,0.6355326257313745,474,0.4092827004219409,0.19218004349528217
Doji Reversal,H1,-1.6873222768424154,280,0.375,0.038459738404118385
Morning/Evening Star,H1,-0.778708373517564,23,0.34782608695652173,0.410076307367623
Three Soldiers/Crows,H1,-0.10736111942775808,509,0.40471512770137524,0.4394530292891721
Harami,H1,-0.053650885642298446,886,0.35891647855530473,0.45996833811754156
Tweezer Tops/Bottoms,H1,-0.7148360439177185,596,0.4077181208053691,0.1362347882045863
Head & Shoulders,H1,-1.43749683710772,301,0.32558139534883723,0.05891657955844249
Double Top/Bottom,H1,-1.7819711805050014,518,0.42857142857142855,0.005492634057549119
Flag/Pennant,H1,0.0,0,0.0,1.0
Triangle Breakout,H1,0.0,0,0.0,1.0
Hammer/Shooting Star,H4,3.8279487417901916,5,0.4,0.3274062476890127
Engulfing Pattern,H4,-2.007575007569847,131,0.3282442748091603,0.07586390190249945
Doji Reversal,H4,-1.743073705825304,78,0.38461538461538464,0.1691513818241338
Morning/Evening Star,H4,5.366236544799648,5,0.6,0.2680312426771303
Three Soldiers/Crows,H4,1.8685472781590253,164,0.4695121951219512,0.06741436184456091
Harami,H4,-0.8885558392256955,243,0.345679012345679,0.19237754067797563
Tweezer Tops/Bottoms,H4,-1.6407675445012961,165,0.3575757575757576,0.0937329816426445
Head & Shoulders,H4,-4.931626334557433,81,0.25925925925925924,0.0033998233144373314
Double Top/Bottom,H4,-1.6711288887598728,135,0.45185185185185184,0.11256807039005123
Flag/Pennant,H4,0.0,0,0.0,1.0
Triangle Breakout,H4,0.0,0,0.0,1.0
Hammer/Shooting Star,D1,0.0,1,0.0,1.0
Engulfing Pattern,D1,-0.027755176678101613,20,0.4,0.496999356539221
Doji Reversal,D1,-5.7810193505428185,6,0.3333333333333333,0.2262455643095927
Morning/Evening Star,D1,0.0,1,1.0,1.0
Three Soldiers/Crows,D1,1.7739159698137938,25,0.48,0.2945650581328978
Harami,D1,1.1008196097152119,42,0.3333333333333333,0.3296794970278873
Tweezer Tops/Bottoms,D1,-6.978019955470383,21,0.23809523809523808,0.031677643700583694
Head & Shoulders,D1,-12.49705948711512,10,0.1,0.021240659180513988
Double Top/Bottom,D1,0.30268675663941474,21,0.47619047619047616,0.4664463713807039
Flag/Pennant,D1,0.0,0,0.0,1.0
Triangle Breakout,D1,0.0,0,0.0,1.0
