strategy,symbol,timeframe,sharpe_ratio,sortino_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,avg_win,avg_loss,avg_rr,expectancy,p_value
ADX Trend Following,USDCAD,H4,13.086219560659636,30.8543190412863,0.7692307692307693,13,36.680253967075075,5.147817945854985,4.946337021969964,459.7501357905693,309.8253203993945,1.483901106590989,282.15579974673153,0.007235145008420446
BB Squeeze Breakout,GOLD,H4,10.179150710638199,56.480808368917046,0.5454545454545454,11,21.02819673809685,3.6041243716154714,4.222064346356683,459.2418098688936,130.52623708073534,3.518386955297236,191.16542489178948,0.03503461396579563
BB Reversal,EURGBP,H4,9.102675769940937,29.300734621810452,0.7307692307692307,26,29.557174186758328,4.230135274983386,3.250139043918698,224.699391032412,187.6530015628562,1.1974196477595205,113.68143917983978,0.004145164337067156
MACD Signal Cross,USDJPY,H4,8.961728794622985,24.99967664990731,0.7142857142857143,14,28.794425137344113,9.291879382492807,3.231787796386355,416.96379876933236,322.5488684897282,1.292715118554542,205.67446526674365,0.031358875866939
High/Low Breakout 20,GOLD,H4,8.434988596191396,32.10903694863772,0.5625,16,28.252781063662113,5.283596908442433,3.139210590002445,460.6654120531197,188.67294315883814,2.441608236668568,176.57988164788816,0.028705657253648993
High/Low Breakout 50,GOLD,H4,7.13032461871945,43.39028092063029,0.5,20,28.653202272304974,4.453579883645798,2.6959491040970245,455.48286094741223,168.9508382243628,2.6959491040970245,143.2660113615247,0.032547172539524404
Stochastic Reversal,EURJPY,H4,7.043872093546926,37.80950474637637,0.6206896551724138,29,39.4071334932151,8.823351436390476,2.4824116387528323,366.61254568094864,241.66477026686974,1.5170293347933976,135.88666721798305,0.013085944745871332
High/Low Breakout 10,SILVER,H4,6.125725705121822,26.220857874691564,0.39285714285714285,28,32.02665658616981,10.375313334055917,2.643494499043748,468.3053012267075,121.7932909298001,3.845082907699998,110.03115598882789,0.027535337405621713
BB Reversal,USDJPY,H4,5.827434000293683,24.66345953469184,0.5416666666666666,24,27.193274564047805,11.990382705512566,2.3182562513725617,367.85761894960353,187.52923544909692,1.961601443469091,113.30531068353248,0.04580646107971279
Opening Range Breakout,GOLD,H4,5.742292102572163,8.124008940397212,0.6785714285714286,28,41.79814916604872,11.071854340648278,2.183018488180373,405.9469965260465,392.57533526555744,1.0340613891380717,149.27910416445957,0.03549724252963537
High/Low Breakout 30,SILVER,H4,5.625720309455154,29.094197410958415,0.36,25,22.8706659576287,4.7685302259243505,2.5191552635075527,421.3947046835715,94.09285914932983,4.478498246235648,91.48266383051464,0.04768126255944861
EMA Cross 21/50,NZDUSD,H1,5.399569510788529,23.648504876227562,0.5,34,40.48625103651972,12.238348920394182,2.121603675576603,450.48826006282405,212.33384220094345,2.121603675576603,119.0772089309403,0.02961234638334271
Opening Range Breakout,SILVER,H4,4.9955608711923745,12.275757807038246,0.59375,32,30.426016995260564,13.042145167301406,1.9579167593299103,327.30900573926203,244.32841611691723,1.3396272563836231,95.0813031101892,0.0448202169852752
Opening Range Breakout,SILVER,H1,4.699428612167886,10.505656208946814,0.6071428571428571,112,156.35557032957152,19.90303417406205,1.9158702262893579,480.99060407308053,387.9955464548256,1.23968073465782,139.6031877942602,0.0011562905648740207
EMA Cross 9/21,EURUSD,H1,4.659214804172137,19.116763017730808,0.49019607843137253,51,64.03282955687035,14.603693944040625,1.880158239453557,547.1373064080834,279.81345017365584,1.9553645690316994,125.55456775856928,0.02155777768532591
Range Trading,EURGBP,H4,4.602455635940948,12.656426733522853,0.53125,64,32.96833437167736,7.348487339980675,2.221634016010926,176.33945271227108,89.95693183498278,1.9602653082449344,51.513022455745826,0.012349326621024165
EMA Cross 9/21,USDJPY,H1,4.493006478352698,23.04723364786295,0.49122807017543857,57,62.20691630868094,14.750567470895584,1.848217457582238,484.0904369355676,252.89105528716547,1.914225223924461,109.13494089242269,0.019312485220470462
High/Low Breakout 50,SILVER,H1,4.338781534744174,15.135478255219807,0.4393939393939394,66,64.97156867074416,11.942225866029386,1.9371367001593875,463.10842052958225,187.37803589955314,2.4715192381343916,98.44177071324879,0.0155522589025651
RSI Momentum,GBPJPY,H1,4.248746461176965,21.222702866653766,0.4666666666666667,75,81.81830151579162,19.451701614917166,1.8247256554317153,517.2142582945571,248.01672221825865,2.0854007490648163,109.09106868772204,0.012064016729802222
