Date,Time,Symbol,Side,Quantity,Price,P&L,Commission,Swap,Order,Deal
2025-09-30,16:23:10,GOLD,Sell,5.0,3844.79,33785.0,0.0,-583.0,1466333366,1436077101
2025-09-30,16:52:41,GOLD,Sell,5.0,3821.79,-2305.0,0.0,-291.5,1466365084,1436108583
2025-09-30,17:19:16,GOLD,Buy,5.0,3820.25,1975.0,0.0,100.0,1466402581,1436145444
2025-09-30,17:19:18,GOLD,Buy,5.0,3820.21,1965.0,0.0,100.0,1466402586,1436145450
2025-09-30,17:19:24,GOLD,Buy,5.0,3820.29,1915.0,0.0,100.0,1466402635,1436145499
2025-09-30,17:19:33,GOLD,Buy,20.01,3820.89,0.0,0.0,0.0,1466402693,1436145557
2025-09-30,17:20:21,GOLD,Sell,20.01,3817.93,-5922.96,0.0,0.0,1466403237,1436146110
2025-09-30,17:22:08,GOLD,Buy,20.01,3820.26,0.0,0.0,0.0,1466404098,1436146975
2025-09-30,17:22:09,GOLD,Buy,20.01,3820.23,0.0,0.0,0.0,1466404113,1436146990
2025-09-30,17:22:20,GOLD,Buy,10.01,3820.15,0.0,0.0,0.0,1466404271,1436147150
2025-09-30,17:31:29,GOLD,Sell,0.01,3818.93,47.8,0.0,-3.49,1466411230,1436153995
2025-09-30,17:37:12,GOLD,Buy,5.0,3817.08,0.0,0.0,0.0,1466414296,1436157001
2025-09-30,17:42:03,GOLD,Sell,20.01,3805.64,-29254.62,0.0,0.0,1466421176,1436163859
2025-09-30,17:45:50,GOLD,Buy,5.0,3804.51,0.0,0.0,0.0,1466427692,1436170356
2025-09-30,17:45:50,GOLD,Buy,5.0,3804.6,0.0,0.0,0.0,1466427704,1436170367
2025-09-30,17:45:54,GOLD,Buy,5.0,3804.9,0.0,0.0,0.0,1466427793,1436170453
2025-09-30,17:46:30,GOLD,Buy,5.0,3805.76,0.0,0.0,0.0,1466428842,1436171487
2025-09-30,17:46:31,GOLD,Buy,5.0,3805.49,0.0,0.0,0.0,1466428862,1436171506
2025-09-30,17:46:33,GOLD,Buy,5.0,3805.46,0.0,0.0,0.0,1466428873,1436171516
2025-09-30,17:46:33,GOLD,Buy,5.0,3805.46,0.0,0.0,0.0,1466428888,1436171531
2025-09-30,17:46:55,GOLD,Buy,5.0,3805.88,0.0,0.0,0.0,1466429252,1436171889
2025-09-30,17:46:56,GOLD,Buy,5.0,3805.96,0.0,0.0,0.0,1466429257,1436171894
2025-09-30,17:46:57,GOLD,Buy,5.0,3806.09,0.0,0.0,0.0,1466429263,1436171899
2025-09-30,17:52:51,GOLD,Buy,5.0,3802.52,0.0,0.0,0.0,1466433637,1436176284
2025-09-30,17:52:52,GOLD,Buy,5.0,3802.68,0.0,0.0,0.0,1466433650,1436176296
2025-09-30,17:52:52,GOLD,Buy,5.0,3802.38,0.0,0.0,0.0,1466433659,1436176304
2025-09-30,17:52:53,GOLD,Buy,5.0,3802.34,0.0,0.0,0.0,1466433663,1436176308
2025-09-30,17:55:14,GOLD,Buy,5.0,3799.78,0.0,0.0,0.0,1466435059,1436177681
2025-09-30,17:55:16,GOLD,Buy,5.0,3800.41,0.0,0.0,0.0,1466435089,1436177701
2025-09-30,17:55:17,GOLD,Buy,5.0,3800.38,0.0,0.0,0.0,1466435096,1436177705
2025-09-30,17:55:17,GOLD,Buy,5.0,3800.16,0.0,0.0,0.0,1466435106,1436177715
2025-09-30,17:55:18,GOLD,Buy,5.0,3800.16,0.0,0.0,0.0,1466435111,1436177719
2025-09-30,17:55:19,GOLD,Buy,5.0,3800.26,0.0,0.0,0.0,1466435119,1436177727
2025-09-30,17:56:04,GOLD,Buy,5.0,3801.88,0.0,0.0,0.0,1466435860,1436178464
2025-09-30,18:07:43,GOLD,Sell,5.0,3803.32,1580.0,0.0,0.0,1466442475,1436184788
