DateTime,Symbol,Side,PnL,IsWin,Confluence,ConfluenceScore,TradeAlignment,H4_Trend,H1_Trend,M15_Trend
2025-10-31 16:24:26,GOLD,Sell,-16.84,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-10-31 16:24:26,GOLD,Sell,-1671.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-10-31 16:24:39,GOLD,Sell,-1261.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-10-31 16:24:48,GOLD,Sell,-1442.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-11-06 06:31:58,BTCUSD,Sell,4.02,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-11-06 06:32:00,GOLD,Sell,-67.8,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-11-18 03:12:50,GOLD,Sell,-54.09,False,MIXED,1,MIXED,UNKNOWN,BEARISH,NEUTRAL
2025-11-18 03:13:17,GOLD,Sell,39.62,True,MIXED,1,MIXED,UNKNOWN,BEARISH,NEUTRAL
2025-12-08 16:43:41,GOLD,Sell,106.0,True,MIXED,1,MIXED,UNKNOWN,UNKNOWN,BEARISH
2025-12-08 18:36:00,GOLD,Sell,-3435.0,False,MIXED,1,MIXED,UNKNOWN,UNKNOWN,NEUTRAL
2025-12-08 20:54:47,GOLD,Sell,-1157.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 20:54:55,GOLD,Sell,-1171.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 20:55:00,GOLD,Sell,-943.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 20:59:41,GOLD,Sell,-936.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 21:00:49,GOLD,Sell,-954.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 21:01:12,GOLD,Sell,-1105.0,False,PARTIAL_BEARISH,2,GOOD,UNKNOWN,BEARISH,BEARISH
2025-12-08 22:13:07,GOLD,Sell,-116.3,False,MIXED,1,MIXED,UNKNOWN,BEARISH,NEUTRAL
2025-12-09 16:52:09,GOLD,Sell,-192.0,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 16:55:12,GOLD,Buy,146.0,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 16:55:50,GOLD,Buy,42.0,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 16:56:35,GOLD,Buy,123.0,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 16:56:46,GOLD,Buy,10.0,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:52:51,GOLD,Sell,9.0,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:52:53,GOLD,Sell,13.7,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:53:34,GOLD,Sell,10.9,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:53:40,GOLD,Sell,6.8,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:53:45,GOLD,Sell,6.2,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:53:46,GOLD,Sell,6.0,True,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 17:57:46,GOLD,Buy,1.87,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 19:50:05,GOLD,Sell,-980.0,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,NEUTRAL
2025-12-09 20:20:13,GOLD,Buy,-5.06,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-09 21:00:30,GOLD,Sell,-972.0,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 21:00:32,GOLD,Sell,-1015.0,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 21:00:40,GOLD,Sell,-1088.0,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 21:36:03,GOLD,Buy,10.19,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 21:36:04,GOLD,Buy,10.01,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 21:40:43,GOLD,Buy,10.19,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:26,GOLD,Sell,-33.9,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:26,GOLD,Sell,-37.7,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:27,GOLD,Sell,-36.3,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:27,GOLD,Sell,-36.4,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:27,GOLD,Sell,-36.7,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:28,GOLD,Sell,-37.6,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:28,GOLD,Sell,-37.6,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:28,GOLD,Sell,-37.7,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 22:13:29,GOLD,Sell,-38.6,False,PARTIAL_BULLISH,2,MIXED,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:05:24,SILVER,Buy,-25.15,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:05:40,SILVER,Buy,-25.1,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:12:53,SILVER,Buy,-25.3,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:27:05,SILVER,Buy,-24.25,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:27:15,SILVER,Buy,-25.6,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:27:16,SILVER,Buy,-25.15,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:23,SILVER,Buy,-25.2,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:35,SILVER,Buy,-25.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:35,SILVER,Buy,-25.15,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:38,SILVER,Buy,-24.9,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:38,SILVER,Buy,-25.05,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:28:40,SILVER,Buy,-26.2,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:31:31,SILVER,Buy,-25.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-09 23:32:28,SILVER,Buy,-25.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 00:15:19,SILVER,Buy,-25.35,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 01:42:47,SILVER,Buy,15.0,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:03:40,SILVER,Buy,-3.75,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:03:41,SILVER,Buy,-3.85,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:24,SILVER,Buy,-7.3,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:26,SILVER,Buy,0.8,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:26,SILVER,Buy,2.45,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:27,SILVER,Buy,3.9,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:31,SILVER,Buy,-5.1,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:34,SILVER,Buy,5.85,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:34,SILVER,Buy,3.3,True,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:35,SILVER,Buy,-1.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:35,SILVER,Buy,-6.45,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:39,SILVER,Buy,-3.1,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:05:41,SILVER,Buy,-415.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 02:30:44,BTCUSD,Buy,46.6,True,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 02:42:40,SILVER,Buy,-1560.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-10 02:42:44,SILVER,Buy,-1640.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-10 02:58:03,SILVER,Buy,-1695.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-10 02:58:20,SILVER,Buy,-890.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-10 02:58:20,SILVER,Buy,-870.0,False,MIXED,1,MIXED,UNKNOWN,BULLISH,NEUTRAL
2025-12-10 02:58:21,BTCUSD,Buy,-339.6,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 02:58:30,BTCUSD,Buy,-344.7,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 02:58:31,BTCUSD,Buy,-344.0,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 02:58:31,BTCUSD,Buy,-138.4,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 03:00:44,BTCUSD,Buy,-145.9,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 03:00:45,BTCUSD,Buy,-143.8,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 03:00:55,BTCUSD,Buy,-154.3,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 03:00:58,BTCUSD,Buy,-173.3,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 03:01:50,BTCUSD,Buy,-163.9,False,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 05:21:00,BTCUSD,Buy,119.43,True,MIXED,1,MIXED,UNKNOWN,NEUTRAL,BEARISH
2025-12-10 06:46:53,SILVER,Buy,-64.0,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
2025-12-10 06:47:07,SILVER,Buy,-70.5,False,PARTIAL_BULLISH,2,GOOD,UNKNOWN,BULLISH,BULLISH
